,accurate_pass,corners,fouls,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
0,640,9,13,2,76,0,2,5,0,730,26,2
1,448,3,18,2,54.2,0,1,9,0,527,15,4
2,613,10,5,1,68.3,0,1,5,3,690,18,1
3,367,0,11,2,45.3,0,1,9,2,462,31,3
4,737,5,9,3,70.9,0,2,4,2,815,14,3
5,544,15,7,1,68.6,0,1,3,3,618,17,3
6,412,11,12,1,61.4,0,0,8,1,490,19,2
7,441,3,9,2,57.1,0,2,8,0,539,31,3
8,425,2,10,0,53,0,0,6,0,505,25,3
9,542,18,5,3,67.6,0,2,10,2,630,10,0
10,382,10,16,1,51.9,0,0,3,0,462,16,5
11,381,9,14,4,51.3,0,2,8,3,467,26,2
12,616,10,9,2,65.8,0,1,6,0,698,21,2
13,416,4,10,1,51.6,0,2,6,1,507,10,1
14,445,9,7,1,58.6,0,2,7,2,539,24,0
15,275,3,5,2,35.3,0,2,4,0,360,22,3
16,249,6,14,2,36.5,0,1,3,1,345,25,3
17,195,8,13,2,42.2,0,2,8,1,294,25,3
18,420,7,6,5,48,0,2,3,3,508,16,0
19,448,6,6,2,55.9,1,2,6,3,539,15,1
20,473,7,7,0,58.5,0,0,4,1,557,14,1
21,427,9,11,3,53.8,0,2,7,4,496,22,0
22,374,9,14,2,57.5,1,0,5,3,453,14,2
23,400,6,7,4,48.6,0,2,4,4,479,24,1
24,605,5,11,3,67.7,0,2,6,1,685,17,0
25,491,6,17,0,57,0,1,6,0,568,16,4
26,576,7,6,4,63.7,0,2,4,1,637,15,1
27,489,8,10,3,67.9,0,2,5,3,590,16,1
28,340,4,7,2,49.1,0,2,1,4,441,32,0
29,717,5,6,0,75.1,0,1,13,0,798,12,1
30,324,5,8,1,42.6,0,1,2,2,414,17,0
31,691,6,7,0,67.9,0,0,6,1,762,16,0
32,571,6,7,1,68.2,0,2,6,2,688,15,0
33,321,8,12,2,47.2,0,2,7,2,398,27,2
34,270,3,12,1,44,0,0,3,3,386,20,5
35,264,1,14,2,47.1,0,2,5,3,365,21,3
36,474,6,13,2,57.1,0,2,3,1,564,15,2
37,407,6,8,2,56.8,0,2,4,2,520,20,1
38,481,5,12,0,61.8,0,0,7,3,556,12,1
39,478,6,12,2,59.2,0,2,6,2,564,27,1
40,539,5,12,4,59.6,0,2,7,0,609,14,0
41,453,9,7,2,51.4,0,2,4,1,530,18,2
42,547,6,6,1,63.4,0,1,5,2,626,10,1
43,386,6,10,0,55,0,1,1,0,495,11,0
44,385,4,7,3,45.8,0,2,7,1,461,16,0
45,440,5,7,2,54.2,0,2,3,5,522,18,0
46,439,13,11,0,66.7,0,1,6,0,535,23,2
47,618,3,7,3,72.5,0,2,4,1,712,20,1
48,385,6,14,0,46.6,1,0,7,1,466,17,1
49,271,3,7,3,40.5,0,1,5,5,378,20,0
50,344,7,12,1,54.9,0,1,5,1,458,35,0
51,578,11,9,2,72.1,0,2,12,5,671,17,4
52,398,7,10,1,51,0,2,10,2,468,19,2
53,487,4,9,0,64.8,0,0,3,1,571,11,0
54,590,5,10,1,73,0,0,7,1,684,13,2
55,300,4,5,2,37.3,0,2,3,3,386,20,0
56,393,3,8,2,49.3,0,2,2,6,487,19,1
57,564,7,2,0,65.7,0,1,9,5,667,23,1
58,550,7,8,0,70.2,0,1,5,4,659,6,4
59,273,2,10,2,42.8,0,1,2,3,383,26,1
60,593,7,8,1,68.6,0,2,6,3,697,17,1
61,712,9,8,1,73.7,0,2,6,2,777,21,1
62,544,13,6,2,67.6,0,2,9,3,628,18,1
63,280,5,11,0,37.1,2,0,4,3,360,21,2
64,456,5,12,5,58,0,2,2,2,532,21,1
65,313,3,8,3,37.8,0,2,5,2,389,29,1
66,551,9,12,3,66.7,0,2,5,4,627,17,1
67,449,7,11,2,56.2,0,2,9,0,527,20,2
68,457,3,15,2,61.1,0,0,5,1,543,14,3
69,360,5,10,2,45.7,0,2,4,3,449,20,0
70,295,2,10,2,48.2,1,1,2,1,414,25,2
71,536,7,8,1,62.6,0,0,7,3,621,28,0
72,641,2,14,2,71.4,0,2,6,3,723,12,0
73,681,8,7,4,69,0,2,4,1,773,13,1
74,481,4,8,3,60.7,0,1,3,1,566,18,0
75,651,10,7,1,71.7,0,1,8,2,737,16,0
76,386,5,13,3,50.7,0,0,3,4,485,22,3
77,369,4,10,3,49.5,1,2,3,0,438,18,2
78,450,7,7,0,60.5,0,1,4,2,555,20,2
79,411,2,15,3,54.7,0,2,2,2,490,22,1
80,498,6,10,2,56.7,0,2,7,0,588,13,2
81,741,4,12,4,60.7,0,2,6,2,801,17,2
82,438,9,9,3,49.5,0,2,5,5,529,18,0
83,604,8,6,0,74.9,0,1,3,5,706,9,1
84,637,6,3,1,67.2,0,2,8,0,741,16,0
85,428,5,7,3,48.7,1,2,7,9,514,17,0
86,505,8,13,4,65.8,0,2,12,1,591,18,3
87,298,7,11,1,45.7,0,1,9,7,423,23,1
88,434,4,11,1,54.5,0,1,3,0,552,23,3
89,382,3,12,3,51.5,0,2,7,1,466,24,3
90,731,6,12,1,75.6,0,2,8,0,813,15,3
91,384,2,11,5,49.5,0,2,6,2,483,17,3
92,472,13,8,1,58.3,0,0,2,3,561,25,1
93,463,7,9,3,64.4,0,2,7,3,539,14,0
94,541,8,9,2,64.1,0,2,5,2,637,25,1
95,389,3,12,2,49.1,0,2,8,4,483,21,3
96,507,2,8,4,56.8,0,2,2,0,605,17,0
97,469,7,12,3,60.4,0,1,5,3,571,17,3
98,420,3,10,1,58.5,0,0,6,2,530,19,1
99,502,10,12,2,69.8,1,2,7,2,578,11,1
100,288,1,13,1,39.4,0,0,5,1,388,15,2
101,410,5,5,2,53,0,2,3,1,504,16,2
102,503,9,12,1,73.5,0,0,8,2,598,20,3
103,306,3,8,2,44.4,0,1,5,5,405,24,3
104,313,3,15,1,47,0,0,2,3,405,15,2
105,529,8,10,0,72.2,0,0,6,2,628,20,1
106,596,5,11,3,65.8,0,2,7,2,680,18,2
107,521,6,7,4,66.8,0,2,3,2,607,16,2
108,598,12,9,1,68.9,0,2,6,8,692,10,2
109,659,5,6,1,76.7,0,0,4,1,752,10,0
110,314,5,15,0,48.8,0,0,4,5,405,21,3
111,454,5,14,2,50,0,2,1,2,524,19,1
112,492,4,16,2,64.8,0,2,4,0,584,19,2
113,476,17,15,2,62.5,0,2,10,2,543,9,4
114,701,5,9,2,72.9,0,2,8,2,805,16,0
115,386,6,12,1,59.6,1,0,4,1,477,18,2
116,425,6,11,0,45.8,0,0,2,0,538,24,1
117,591,4,6,5,63.6,0,2,5,0,662,12,0
118,464,10,14,3,58.4,0,2,4,4,583,16,0
119,438,3,9,0,51.4,0,0,6,5,539,13,4
120,824,3,8,1,74.3,0,0,4,3,894,11,3
121,642,5,6,4,63,0,2,1,3,727,19,0
122,411,1,15,0,49.4,0,1,5,2,520,19,3
123,516,7,14,5,67.6,0,2,8,1,616,12,1
124,649,7,13,1,71.3,0,2,11,1,761,17,2
125,639,9,11,0,77.1,0,0,6,3,731,15,0
126,515,10,11,2,58.3,0,1,3,2,599,16,3
127,281,7,11,2,42.1,0,2,4,8,399,18,4
128,358,0,7,1,40.8,0,0,4,1,438,28,1
129,607,7,9,0,70.1,0,1,8,0,704,17,0
130,516,11,12,1,68.1,0,0,2,0,614,10,3
131,369,5,15,1,41.8,0,0,3,3,450,16,6
132,716,7,10,5,70.3,0,2,8,2,813,19,0
133,442,5,10,1,53.9,0,0,3,0,552,18,0
134,597,8,11,3,64.6,1,2,4,1,699,11,2
135,612,6,7,2,65.2,0,2,8,2,697,15,0
136,562,12,11,1,75.1,0,0,6,4,656,18,3
137,549,6,9,3,69.6,0,2,8,3,647,16,1
138,552,8,11,4,67.7,0,2,8,1,629,4,3
139,380,7,9,3,53.5,0,1,3,3,503,18,1
140,531,5,14,1,63.7,0,2,9,3,636,11,0
141,414,4,7,1,55,0,2,3,2,519,11,0
142,664,5,10,1,67,0,1,4,1,758,13,2
143,468,4,8,5,58.4,0,2,3,1,553,22,2
144,590,5,9,1,71.8,0,0,8,2,695,25,0
145,409,5,10,1,59.4,0,0,5,4,550,20,2
146,413,2,9,0,50.1,0,0,3,6,509,12,1
147,538,9,9,4,70,0,2,9,5,632,23,0
148,553,4,7,3,65.2,0,2,3,3,654,21,1
149,537,7,8,2,69.1,0,2,6,0,615,15,1
150,544,6,9,1,65.3,0,1,5,2,647,12,3
151,417,4,12,3,59.7,0,2,4,5,502,21,2
